               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02258,            0.009928,           0.0032169,             0.80694,             0.79367,             0.83353,               0.622,            0.015052,            0.004604,           0.0051844,            0.008845,            0.008845,            0.008845
                  37,            0.022518,           0.0098126,           0.0033995,             0.90446,             0.90431,             0.97841,              0.7132,            0.015456,           0.0045567,           0.0024768,            0.008812,            0.008812,            0.008812
                  38,            0.022391,           0.0099153,           0.0028248,             0.86402,             0.88465,             0.92835,             0.67609,            0.014764,           0.0043534,            0.024955,            0.008779,            0.008779,            0.008779
                  39,            0.022246,            0.009727,           0.0023797,             0.82169,             0.95858,             0.93666,             0.67206,            0.014031,           0.0041717,            0.020556,            0.008746,            0.008746,            0.008746
                  40,            0.021539,             0.00956,           0.0021443,             0.94225,             0.85758,             0.89904,             0.67097,             0.01432,           0.0044079,           0.0033017,            0.008713,            0.008713,            0.008713
                  41,            0.021708,           0.0096492,           0.0027576,             0.88391,             0.96109,             0.98058,             0.71707,            0.014539,           0.0042141,             0.01106,             0.00868,             0.00868,             0.00868
                  42,            0.021491,           0.0096616,           0.0024151,              0.8851,             0.95769,             0.98559,             0.69671,             0.01553,           0.0045115,           0.0071484,            0.008647,            0.008647,            0.008647
                  43,            0.022004,           0.0097295,             0.00317,             0.88071,             0.91033,             0.90958,             0.67874,            0.014456,           0.0043066,           0.0042483,            0.008614,            0.008614,            0.008614
                  44,             0.02225,           0.0095865,            0.002974,             0.80199,             0.84651,             0.83461,             0.63408,            0.014674,           0.0043536,           0.0099892,            0.008581,            0.008581,            0.008581
                  45,            0.021902,           0.0097814,           0.0030421,             0.94181,             0.84473,             0.89813,             0.66924,            0.014768,           0.0042996,           0.0054845,            0.008548,            0.008548,            0.008548
                  46,            0.021784,           0.0097066,           0.0029132,               0.874,             0.94768,             0.96071,             0.69088,            0.014597,           0.0044415,            0.029661,            0.008515,            0.008515,            0.008515
                  47,             0.02157,           0.0096003,           0.0025682,             0.86761,             0.96496,             0.93353,             0.70368,            0.014188,           0.0041977,           0.0092161,            0.008482,            0.008482,            0.008482
                  48,            0.021897,           0.0095547,           0.0030004,             0.90009,             0.86518,             0.92964,             0.67495,            0.014545,           0.0042002,           0.0021601,            0.008449,            0.008449,            0.008449
                  49,            0.021567,           0.0094224,            0.002416,             0.85266,             0.88675,              0.9358,             0.68583,            0.014056,           0.0042443,            0.018982,            0.008416,            0.008416,            0.008416
                  50,            0.021377,           0.0095922,           0.0025136,              0.8914,             0.97046,             0.97807,             0.70445,            0.013976,           0.0041737,           0.0018391,            0.008383,            0.008383,            0.008383
                  51,            0.021578,           0.0094847,           0.0026928,             0.93161,              0.8428,              0.8944,             0.67664,            0.014299,            0.004225,           0.0082358,             0.00835,             0.00835,             0.00835
                  52,            0.020867,           0.0094304,           0.0025008,             0.84359,             0.84069,             0.88395,              0.6686,            0.013866,           0.0042031,           0.0028048,            0.008317,            0.008317,            0.008317
                  53,            0.021061,           0.0095176,           0.0025789,             0.94395,             0.97394,             0.97677,             0.72783,            0.013322,           0.0041044,           0.0058612,            0.008284,            0.008284,            0.008284
                  54,            0.021155,           0.0094012,           0.0026493,             0.95374,             0.98644,             0.99144,              0.7498,             0.01335,           0.0040467,           0.0025112,            0.008251,            0.008251,            0.008251
                  55,            0.021188,           0.0095389,           0.0022791,             0.91947,             0.92849,             0.99279,             0.72197,            0.013333,           0.0041781,           0.0047804,            0.008218,            0.008218,            0.008218
                  56,             0.02082,           0.0092089,           0.0025895,               0.845,             0.95722,             0.95155,             0.70691,            0.013629,           0.0040661,           0.0050858,            0.008185,            0.008185,            0.008185
                  57,            0.021179,           0.0094835,           0.0028376,             0.90655,             0.86466,             0.92095,             0.67828,            0.013752,           0.0042187,            0.019074,            0.008152,            0.008152,            0.008152
                  58,             0.02109,           0.0092798,           0.0023678,             0.93348,             0.92173,             0.97278,             0.70839,            0.013509,           0.0041747,           0.0045582,            0.008119,            0.008119,            0.008119
                  59,            0.020772,           0.0094702,           0.0023906,             0.88787,             0.84818,             0.92943,             0.71241,            0.013229,           0.0039672,           0.0020973,            0.008086,            0.008086,            0.008086
                  60,            0.020866,           0.0091165,           0.0020963,             0.94786,             0.96864,             0.98436,             0.74387,            0.013812,           0.0040714,            0.006363,            0.008053,            0.008053,            0.008053
                  61,             0.02044,           0.0091416,           0.0017683,             0.84877,             0.99391,             0.93185,             0.70291,            0.013862,           0.0040993,           0.0010381,             0.00802,             0.00802,             0.00802
                  62,            0.020977,           0.0092545,           0.0026065,             0.82451,             0.86731,             0.87327,             0.66869,            0.013194,           0.0040132,            0.014013,            0.007987,            0.007987,            0.007987
                  63,            0.020595,           0.0092787,           0.0022802,             0.92158,             0.91154,             0.96369,             0.72763,            0.012947,           0.0039572,           0.0089687,            0.007954,            0.007954,            0.007954
                  64,            0.020634,           0.0092575,           0.0025542,             0.91804,              0.8366,             0.88995,             0.67275,            0.013717,           0.0040463,            0.017398,            0.007921,            0.007921,            0.007921
                  65,            0.020297,            0.009108,            0.001956,             0.94102,             0.85764,             0.93739,             0.72614,            0.013045,           0.0039748,           0.0044097,            0.007888,            0.007888,            0.007888
                  66,            0.020146,           0.0091331,           0.0019237,             0.90393,              0.8882,             0.94218,             0.72991,             0.01302,           0.0039694,            0.022731,            0.007855,            0.007855,            0.007855
                  67,             0.02027,           0.0091121,           0.0019671,             0.92663,             0.89226,             0.91666,             0.69605,            0.012721,           0.0039705,            0.021769,            0.007822,            0.007822,            0.007822
